zip_code,latitude,longitude,cidade
44813,40.62552920064935,-82.55678068311688,Jefferson Township
90043,33.99206996334541,-118.34596219227055,Los Angeles County
43201,39.98584807335042,-83.00843218714499,Columbus
45206,39.12677789006211,-84.48663503447204,Walnut Hills
43082,40.15315916238532,-82.91322216616973,Genoa Township
45244,39.11001296016529,-84.32569926066117,Anderson Township
45243,39.18527811030303,-84.35848001060606,Madeira
45213,39.18107258897959,-84.42205240734694,Cincinnati
44017,41.3759716309375,-81.85951750476563,Berea
44903,40.77125901151219,-82.529197112,Mansfield
44907,40.73226859637306,-82.52312079818653,Mansfield
43452,41.536402842145016,-82.96848890876133,Erie Township
90009,33.952758,-118.385942,Los Angeles
44223,41.15290379256966,-81.51350174922601,Cuyahoga Falls
44123,41.60486209,-81.52698356883334,Euclid
43202,40.017137952054796,-83.01026436328767,Columbus
45219,39.12635738150685,-84.51470063287672,Clifton Heights–University Heights–Fairview
89044,35.991959991176465,-114.71483953823528,Mohave County
44103,41.514072094930874,-81.643076040553,Cleveland
90005,34.05998600074627,-118.3016667283582,Los Angeles
78749,30.21455374751339,-97.85903023749044,Austin
95003,36.96905967007576,-121.90187025833333,Rio del Mar
44906,40.76533710869565,-82.57305299352656,Ontario
37363,35.06437848634483,-85.06464844275862,Collegedale
37402,35.04528268988764,-85.31129157790262,Chattanooga
37406,35.06665865223214,-85.24676901674107,Chattanooga
37414,,,
44121,41.52746961197682,-81.53538670901482,Cleveland Heights
44311,41.06475967704082,-81.52141238979593,Akron
43440,41.514181414799445,-82.74581033471647,Danbury Township
45226,39.118810626872246,-84.42879377268721,Cincinnati
44052,41.456443207008085,-82.17249837574124,Lorain
44428,41.42795317209302,-80.58255554129668,Kinsman Township
43213,39.967427901739136,-82.8712077747826,Whitehall
61455,40.453683457478995,-90.67620527865546,Macomb
34109,26.24142992692308,-81.77072388611111,Collier County
43219,40.019578244704775,-82.92545931977507,Columbus
87196,34.960068,-106.2794909,Bernalillo County
44023,41.398085453712866,-81.33378170024753,Bainbridge Township
44260,41.03655192247191,-81.36715138426966,Suffield Township
44902,40.759998318556704,-82.5136998286598,Mansfield
10151,,,
45152,39.34883383583333,-84.15043832291666,Hamilton Township
44026,41.52916681056086,-81.34847775086514,Chesterland
45296,,,
44053,41.42825239350181,-82.20759601913358,Lorain
37315,35.0461917,-85.06116302142857,Collegedale
30750,34.95550652554744,-85.37484941094891,Lookout Mountain
37409,35.001986654966885,-85.32989233443709,Chattanooga
37450,35.04892805,-85.31205805,Chattanooga
37415,35.14744459473685,-85.27443120358144,Chattanooga
32456,29.884893171711713,-85.36748136702703,Gulf County
37725,36.0004726009901,-83.40706702574258,Jefferson County
37323,35.11729877539823,-84.83587300814159,Bradley County
30735,34.59953567783505,-84.93180809072166,Gordon County
37353,35.11306325571429,-84.98323664571429,Bradley County
37882,35.68918925133333,-83.77361705,Blount County
37341,35.167873705038765,-85.1008543255814,Hamilton County
37615,36.40282546333907,-82.44714388072289,Washington County
38184,,,
37411,35.027327698899086,-85.2348364159633,Chattanooga
